weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-06-24,Jack Daniels,8292.275,210750.07
2012-06-24,Jagermeister,5176.725,123253.15
2012-06-24,Jim Beam,5223.75,92531.8000000001
2012-06-24,McCormick,288.25,2134.33
2012-06-24,Paramount,18729.25,132405.91
2012-06-24,Phillips,12768.125,81013.3799999999
2012-06-24,Seagrams,9675.125,111350.83
2012-06-24,Smirnoff,15230.25,217479.32
2012-07-01,Absolut,7432.725,154241.56
2012-07-01,Admiral Nelson,5809.825,60464.4299999999
2012-07-01,Bacardi,11739.895,161651.45
2012-07-01,Barton,6716,40002.43
2012-07-01,Black Velvet,17068.2,164155.22
2012-07-01,Canadian,14832.05,208923.92
2012-07-01,Captain Morgan,13752.9,222297.37
2012-07-01,Crown Royal,5041.15,143200.31
2012-07-01,Fireball,2124.5,34321.6
2012-07-01,Five,16286.55,103120.76
2012-07-01,Five Star,3168.025,21146.94
2012-07-01,Hawkeye,15419.75,98353.1199999999
2012-07-01,Jack Daniels,6695.45,170288.47
2012-07-01,Jagermeister,3441.925,82687.9299999999
2012-07-01,Jim Beam,3675.35,65406.36
2012-07-01,McCormick,218,1654.84
2012-07-01,Paramount,16953,119657.41
2012-07-01,Phillips,6947,45100.73
2012-07-01,Seagrams,9043.9,102922.46
2012-07-01,Smirnoff,9198.85,133264.66
2012-07-08,Absolut,6710.5,139753.84
2012-07-08,Admiral Nelson,5542.55,57973.74
2012-07-08,Bacardi,10487.87,146250.18
2012-07-08,Barton,8226.75,49041.63
2012-07-08,Black Velvet,19601.325,186285.72
2012-07-08,Canadian,16127.625,225050.56
2012-07-08,Captain Morgan,15023.9,241036.93
2012-07-08,Crown Royal,5315.5,150553.25
2012-07-08,Fireball,3005.125,48521.8000000001
2012-07-08,Five,16539.325,105118.02
2012-07-08,Five Star,3458.775,23150.55
2012-07-08,Hawkeye,16671.625,106059.1
2012-07-08,Jack Daniels,6945.125,175642.59
2012-07-08,Jagermeister,3986.25,95332.4600000001
2012-07-08,Jim Beam,3962.025,69633.5700000001
2012-07-08,McCormick,272,1881.88
2012-07-08,Paramount,14371.375,102888.43
2012-07-08,Phillips,7311.475,46468.9
2012-07-08,Seagrams,7522.975,86843.2400000001
2012-07-08,Smirnoff,8946.35,133220
2012-07-15,Absolut,10927.6,220234.58
2012-07-15,Admiral Nelson,6990,72639.9299999999
2012-07-15,Bacardi,10158.419,140386.29
2012-07-15,Barton,7682.25,45866.95
2012-07-15,Black Velvet,20762.875,195262.39
2012-07-15,Canadian,15125.15,208409.07
2012-07-15,Captain Morgan,19750.499,323361.89
2012-07-15,Crown Royal,4628.1,130587.36
2012-07-15,Fireball,2147.125,35273.55
2012-07-15,Five,16149.85,102219.46
2012-07-15,Five Star,3196.125,21360.62
2012-07-15,Hawkeye,17763.875,112915.11
2012-07-15,Jack Daniels,9630.475,242976.97
2012-07-15,Jagermeister,3809.075,90573.51
2012-07-15,Jim Beam,3909.875,69508.7200000001
2012-07-15,McCormick,204.5,1526.94
2012-07-15,Paramount,16966,117857.69
2012-07-15,Phillips,6137,39662.89
2012-07-15,Seagrams,9049.5,104422.59
2012-07-15,Smirnoff,9734.375,139523.93
2012-07-22,Absolut,6840.8,145862.71
2012-07-22,Admiral Nelson,4936.6,51904.93
2012-07-22,Bacardi,10676.05,148386.93
2012-07-22,Barton,8646,51519.25
2012-07-22,Black Velvet,20553.575,190512.79
